Right Shoulder Angle:	299	 Right Elbow Angle:	168	Base Rotation Angle:	156	Left Shoulder Elbow30
Right Shoulder Angle:	298	 Right Elbow Angle:	169	Base Rotation Angle:	156	Left Shoulder Elbow40
Right Shoulder Angle:	299	 Right Elbow Angle:	172	Base Rotation Angle:	157	Left Shoulder Elbow40
Right Shoulder Angle:	299	 Right Elbow Angle:	172	Base Rotation Angle:	159	Left Shoulder Elbow32
Right Shoulder Angle:	299	 Right Elbow Angle:	173	Base Rotation Angle:	158	Left Shoulder Elbow38
Right Shoulder Angle:	299	 Right Elbow Angle:	169	Base Rotation Angle:	159	Left Shoulder Elbow39
Right Shoulder Angle:	299	 Right Elbow Angle:	173	Base Rotation Angle:	159	Left Shoulder Elbow27
Right Shoulder Angle:	299	 Right Elbow Angle:	170	Base Rotation Angle:	160	Left Shoulder Elbow38
Right Shoulder Angle:	299	 Right Elbow Angle:	173	Base Rotation Angle:	153	Left Shoulder Elbow29
Right Shoulder Angle:	299	 Right Elbow Angle:	172	Base Rotation Angle:	149	Left Shoulder Elbow29
Right Shoulder Angle:	299	 Right Elbow Angle:	173	Base Rotation Angle:	146	Left Shoulder Elbow33
Right Shoulder Angle:	299	 Right Elbow Angle:	171	Base Rotation Angle:	147	Left Shoulder Elbow28
Right Shoulder Angle:	302	 Right Elbow Angle:	171	Base Rotation Angle:	146	Left Shoulder Elbow40
Right Shoulder Angle:	301	 Right Elbow Angle:	172	Base Rotation Angle:	147	Left Shoulder Elbow29
Right Shoulder Angle:	300	 Right Elbow Angle:	169	Base Rotation Angle:	158	Left Shoulder Elbow43
Right Shoulder Angle:	300	 Right Elbow Angle:	171	Base Rotation Angle:	155	Left Shoulder Elbow36
Right Shoulder Angle:	300	 Right Elbow Angle:	172	Base Rotation Angle:	158	Left Shoulder Elbow24
Right Shoulder Angle:	300	 Right Elbow Angle:	173	Base Rotation Angle:	158	Left Shoulder Elbow33
Right Shoulder Angle:	300	 Right Elbow Angle:	171	Base Rotation Angle:	155	Left Shoulder Elbow25
Right Shoulder Angle:	300	 Right Elbow Angle:	168	Base Rotation Angle:	158	Left Shoulder Elbow6
